Node, Time Deployment, Time on Station
0, 1, 39
1, 1, 6
2, 1, 5
3, 1, 6
4, 1, 5
5, 1, 12
6, 1, 14
7, 1, 22
8, 1, 6
9, 1, 5
10, 1, 20
11, 1, 15
12, 1, 20
13, 1, 17
14, 1, 5
15, 1, 10
16, 1, 5
17, 1, 16
18, 1, 4
19, 1, 13
