Node, x_pos, y_pos, target_x, target_y
6, 26.3239, -27.6007, 18, -26
7, -27.0767, 33.3404, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -9.94606, -32.0249, -10, -31
11, 25.497, 26.7993, 18, 25
12, -25.7066, 21.0811, -26, 18
13, -31.9731, -27.0293, -31, -10
14, 32.9502, -3.90031, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -26, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, -5.80291, -39.7892, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 24.3599, -27.2231, 18, -26
7, -25.0852, 33.156, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 23.5523, 26.3325, 18, 25
12, -25.8962, 19.0901, -26, 18
13, -31.859, -25.0326, -31, -10
14, 32.0557, -2.11146, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -24, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, -4.0832, -38.7681, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 22.3959, -26.8454, 18, -26
7, -23.0937, 32.9716, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 21.6075, 25.8658, 18, 25
12, -26, 18, -26, 18
13, -31.7449, -23.0358, -31, -10
14, 31.1613, -0.322602, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -22, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, -2.36349, -37.7471, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 20.4318, -26.4677, 18, -26
7, -21.1022, 32.7872, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 19.6627, 25.399, 18, 25
12, -26, 18, -26, 18
13, -31.6308, -21.0391, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -20, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, -0.643777, -36.726, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18.4678, -26.09, 18, -26
7, -19.1107, 32.6028, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31.5167, -19.0423, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 1.07593, -35.7049, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, -17.1193, 32.4185, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31.4026, -17.0456, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 2.79564, -34.6838, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, -15.1278, 32.2341, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31.2885, -15.0489, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 4.51535, -33.6628, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, -13.1363, 32.0497, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31.1744, -13.0521, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 6.23506, -32.6417, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, -11.1448, 31.8653, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31.0603, -11.0554, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 7.95477, -31.6206, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, -9.15334, 31.6809, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31, -10, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 9, -31, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, -7.16185, 31.4965, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31, -10, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 9, -31, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, -5.17037, 31.3121, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31, -10, -31, -10
