Node, Time Deployment, Time on Station
0, 1, 20
1, 1, 5
2, 1, 4
3, 1, 9
4, 1, 9
5, 1, 6
6, 1, 15
7, 1, 29
8, 1, 9
9, 1, 4
10, 1, 11
11, 1, 14
12, 1, 12
13, 1, 19
14, 1, 13
15, 1, 3
16, 1, 4
17, 1, 14
18, 1, 2
19, 1, 5
