Node, x_pos, y_pos, target_x, target_y
18, 35, -5, 35, -5
19, -3.74146, 22.2366, -5, 15
0, -13.9155, -34.4607, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -23.9463, 18.0105, -25, 15
6, 30.2316, -19.4056, 25, -15
7, -40.6344, 17.5374, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, -2.31497, -33.2874, 5, -15
11, 37.7065, 13.796, 35, 5
12, -10.1329, 27.5238, 5, 15
13, -34.1973, -27.0399, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25.3797, -26.0107, -25, -15
18, 35, -5, 35, -5
19, -4.08414, 20.2662, -5, 15
0, -12.9061, -32.7341, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -24.607, 16.1228, -25, 15
6, 28.7018, -18.1173, 25, -15
7, -40.1493, 15.5971, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, -1.57219, -31.4305, 5, -15
11, 37.1183, 11.8844, 35, 5
12, -8.59211, 26.2486, 5, 15
13, -34.3304, -25.0443, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25.3108, -24.0119, -25, -15
18, 35, -5, 35, -5
19, -4.42682, 18.2958, -5, 15
0, -11.8967, -31.0075, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 27.172, -16.829, 25, -15
7, -39.6642, 13.6569, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, -0.829405, -29.5735, 5, -15
11, 36.5301, 9.97286, 35, 5
12, -7.05132, 24.9735, 5, 15
13, -34.4634, -23.0487, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25.2418, -22.0131, -25, -15
18, 35, -5, 35, -5
19, -4.76951, 16.3253, -5, 15
0, -10.8873, -29.2809, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25.6421, -15.5407, 25, -15
7, -39.1791, 11.7166, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, -0.0866238, -27.7166, 5, -15
11, 35.9419, 8.0613, 35, 5
