Node, Deployment time, Time on Station
0, 1, 2
1, 1, 2
2, 1, 3
3, 1, 2
4, 1, 7
5, 1, 3
6, 1, 2
7, 1, 2
8, 1, 1
9, 1, 1
10, 1, 4
11, 1, 2
12, 1, 1
13, 1, 1
14, 1, 2
15, 1, 2
16, 1, 6
17, 1, 1
18, 1, 2
19, 1, 1
20, 1, 2
21, 1, 1
22, 1, 1
23, 1, 1
24, 1, 2
25, 1, 1
26, 1, 2
27, 1, 1
28, 1, 1
29, 1, 0
